"Gogol_MertvieDushi" "Gogol_TarasBulba" "Lermontov_GeroyNashegoVremeni" "Lermontov_KnyaginyaLigovskaya" "Pushkin_Dubrovsky" "Pushkin_KapitanskayaDochka"
"всего" 0.085098583435888 0.0920486233316187 0.0190507941799824 0.0373532550693703 0.0581367181822586 0.0547045951859956
"руки" 0.0772433295802676 0.0785120610769689 0.0619150810849427 0.048025613660619 0.043602538636694 0.0334305859469973
"руку" 0.0458223141577859 0.0514389365676693 0.116686114352392 0.048025613660619 0.0581367181822586 0.0547045951859956
"голову" 0.0576051949412165 0.110999810488128 0.0523896839949515 0.0426894343649947 0.0726708977278233 0.0334305859469973
"день" 0.0432038962059124 0.0270731245092996 0.0762031767199295 0.0586979722518677 0.130807615910082 0.0850960369559932
"тогда" 0.0536775680134063 0.0758047486260389 0.0857285738099207 0.0426894343649947 0.0532919916670704 0.0516654510089959
"своих" 0.0392762692781022 0.146194872350218 0.035720239087467 0.0266808964781217 0.0532919916670704 0.0668611718939947
"хорошо" 0.0994998821711922 0.0351950618620895 0.0642964303574405 0.032017075773746 0.0290683590911293 0.0273522975929978
"хотел" 0.0484407321096593 0.0785120610769689 0.0571523825399471 0.064034151547492 0.0678261712126351 0.0638220277169949
"через" 0.0183289256631143 0.0568535614695292 0.0857285738099207 0.0586979722518677 0.0726708977278233 0.12156576707999
"никогда" 0.06022361289309 0.0541462490185992 0.0857285738099207 0.096051227321238 0.0484472651518822 0.0182348650619985
"почти" 0.0772433295802676 0.0649754988223191 0.0571523825399471 0.064034151547492 0.0387578121215057 0.0243131534159981
"такое" 0.0955722552433819 0.0839266859788288 0.0309575405424714 0.0106723585912487 0.0290683590911293 0.0273522975929978
"ней" 0.0497499410855961 0.0324877494111595 0.0904912723549163 0.0853788687299893 0.0387578121215057 0.0638220277169949
"спросил" 0.0261841795187348 0.0270731245092996 0.0738218274474317 0.0426894343649947 0.121118162879705 0.118526622902991
"хотя" 0.06022361289309 0.0487316241167393 0.0928726216274141 0.080042689434365 0.0339130856063175 0.0243131534159981
"весь" 0.0680788667487104 0.135365622546498 0.0214321434524802 0.0266808964781217 0.0581367181822586 0.012156576707999
"том" 0.0720064936765206 0.0351950618620895 0.0523896839949515 0.0106723585912487 0.0968945303037644 0.0607828835399951
"опять" 0.0667696577727737 0.0514389365676693 0.0595337318124449 0.0533617929562433 0.0145341795455647 0.0699003160709944
"видно" 0.0720064936765206 0.0866339984297588 0.0476269854499559 0.016008537886873 0.0387578121215057 0.0364697301239971
"петрович" 0.00523683590374696 0 0.00476269854499559 0.00533617929562433 0.557143549246645 0.0243131534159981
"нам" 0.0183289256631143 0.0622681863713891 0.0738218274474317 0.032017075773746 0.0629814446974468 0.12156576707999
"своего" 0.0405854782540389 0.0758047486260389 0.0309575405424714 0.048025613660619 0.125962889394894 0.0607828835399951
"нее" 0.024874970542798 0.0324877494111595 0.100016669444907 0.165421558164354 0.0532919916670704 0.0334305859469973
"лицо" 0.0432038962059124 0.0595608739204592 0.0666777796299383 0.0853788687299893 0.0387578121215057 0.0516654510089959
"слова" 0.0445131051818491 0.0514389365676693 0.0595337318124449 0.0747065101387407 0.0532919916670704 0.0638220277169949
"довольно" 0.0366578513262287 0.0460243116658094 0.0857285738099207 0.0586979722518677 0.0532919916670704 0.0607828835399951
"лучше" 0.054986776989343 0.0541462490185992 0.0833472245374229 0.0373532550693703 0.0290683590911293 0.0395088743009968
"батюшка" 0.030111806446545 0 0.00714404781749339 0.00533617929562433 0.106583983334141 0.221857524920982
"марья" 0 0 0 0 0.174410154546776 0.261366399221979
"нем" 0.0641512398209002 0.0379023743130195 0.0452456361774582 0.064034151547492 0.0823603507581997 0.0334305859469973
"всегда" 0.054986776989343 0.0433169992148794 0.0738218274474317 0.0693703308431163 0.043602538636694 0.0243131534159981
"знает" 0.0759341206043309 0.0379023743130195 0.0619150810849427 0.048025613660619 0.0145341795455647 0.0243131534159981
"чего" 0.0798617475321411 0.0379023743130195 0.0452456361774582 0.0266808964781217 0.043602538636694 0.0303914417699976
"какое" 0.0824801654840146 0.0406096867639494 0.0404829376324626 0.064034151547492 0.00968945303037643 0.0243131534159981
"вместе" 0.0536775680134063 0.0866339984297588 0.0333388898149692 0.0213447171824973 0.0193789060607529 0.0638220277169949
"лет" 0.0392762692781022 0.0297804369602296 0.0476269854499559 0.096051227321238 0.0678261712126351 0.0699003160709944
"отец" 0.0589144039171533 0.0324877494111595 0.0190507941799824 0.032017075773746 0.0823603507581997 0.0850960369559932
"тарас" 0 0.305926306955086 0 0 0.00968945303037643 0.00303914417699976
"три" 0.0445131051818491 0.070390123724179 0.0476269854499559 0.064034151547492 0.0678261712126351 0.0303914417699976
"ко" 0.0261841795187348 0.0162438747055798 0.0833472245374229 0.0266808964781217 0.0532919916670704 0.115487478725991
"моя" 0.0235657615668613 0.0324877494111595 0.0904912723549163 0.0213447171824973 0.0145341795455647 0.118526622902991
"над" 0.0379670603021654 0.0649754988223191 0.0714404781749339 0.0586979722518677 0.043602538636694 0.0334305859469973
"знаю" 0.0471315231337226 0.0379023743130195 0.0904912723549163 0.064034151547492 0.0339130856063175 0.0182348650619985
"образом" 0.0824801654840146 0.0189511871565097 0.0261948419974758 0.032017075773746 0.0532919916670704 0.0455871626549964
"собою" 0.0523683590374696 0.0541462490185992 0.0285761912699736 0.048025613660619 0.0726708977278233 0.0486263068319961
"какие" 0.0811709565080778 0.0568535614695292 0.0285761912699736 0.0373532550693703 0.0193789060607529 0.0151957208849988
"одного" 0.035348642350292 0.0920486233316187 0.0452456361774582 0.048025613660619 0.0387578121215057 0.0425480184779966
"больше" 0.0589144039171533 0.0595608739204592 0.0738218274474317 0.0586979722518677 0.00484472651518822 0
"которая" 0.0615328218690267 0.0351950618620895 0.0333388898149692 0.0693703308431163 0.0193789060607529 0.0577437393629954
"куда" 0.0628420308449635 0.0108292498037198 0.0381015883599648 0.0266808964781217 0.0726708977278233 0.0668611718939947
"нему" 0.0523683590374696 0.0460243116658094 0.0381015883599648 0.0586979722518677 0.0726708977278233 0.0334305859469973
"самом" 0.0733157026524574 0.0108292498037198 0.0666777796299383 0.032017075773746 0.0193789060607529 0.0364697301239971
"скоро" 0.0471315231337226 0.0514389365676693 0.0500083347224537 0.0907150480256137 0.0290683590911293 0.0334305859469973
"ними" 0.0471315231337226 0.0812193735278989 0.0476269854499559 0.0266808964781217 0.0290683590911293 0.0364697301239971
"деле" 0.0706972847005839 0.0135365622546498 0.0642964303574405 0.0373532550693703 0.0193789060607529 0.0334305859469973
"тоже" 0.109973553978686 0.0568535614695292 0.00714404781749339 0 0 0
"давно" 0.0562959859652798 0.067682811273249 0.0452456361774582 0.0373532550693703 0.0145341795455647 0.0303914417699976
"которых" 0.0628420308449635 0.0568535614695292 0.0547710332674493 0.0586979722518677 0 0.012156576707999
"ноздрев" 0.140085360425231 0 0 0 0 0
"слово" 0.0510591500615328 0.0785120610769689 0.0285761912699736 0.0426894343649947 0.0387578121215057 0.0334305859469973
"человека" 0.0497499410855961 0.0351950618620895 0.0547710332674493 0.0426894343649947 0.0532919916670704 0.0425480184779966
"этом" 0.0720064936765206 0.0189511871565097 0.0714404781749339 0.0586979722518677 0 0.012156576707999
"эту" 0.0235657615668613 0.0108292498037198 0.0809658752649251 0.133404482390608 0.00968945303037643 0.0729394602479942
"точно" 0.0746249116283941 0.0108292498037198 0.0738218274474317 0.0266808964781217 0.0145341795455647 0.0182348650619985
"разве" 0.0562959859652798 0.0568535614695292 0.0404829376324626 0.0426894343649947 0.0242236325759411 0.0334305859469973
"стороны" 0.0733157026524574 0.0351950618620895 0.0214321434524802 0.016008537886873 0.0484472651518822 0.0425480184779966
"эти" 0.0510591500615328 0.0216584996074397 0.0762031767199295 0.106723585912487 0.00968945303037643 0.012156576707999
"зачем" 0.0562959859652798 0.0189511871565097 0.0500083347224537 0.00533617929562433 0.0678261712126351 0.0516654510089959
"кажется" 0.0432038962059124 0.00812193735278989 0.102398018717405 0.0426894343649947 0.0290683590911293 0.0303914417699976
"нельзя" 0.0824801654840146 0.0324877494111595 0.0381015883599648 0.0213447171824973 0.0145341795455647 0.0151957208849988
"дубровский" 0 0 0 0 0.48931737803401 0
"своим" 0.035348642350292 0.0893413108806887 0.023813492724978 0.0426894343649947 0.0484472651518822 0.0395088743009968
"люди" 0.0392762692781022 0.0270731245092996 0.0404829376324626 0.0907150480256137 0.0581367181822586 0.0425480184779966
"этот" 0.0471315231337226 0.0243658120583697 0.0619150810849427 0.0853788687299893 0.0339130856063175 0.0182348650619985
"впрочем" 0.0864077924118248 0.00812193735278989 0.0428642869049604 0.0426894343649947 0.00484472651518822 0.00911743253099927
"иван" 0.0432038962059124 0.00270731245092996 0.00476269854499559 0 0 0.191466083150985
